split,config,cutoff,valid_end,total_correct,precision_at_10_micro,mean_iou,global_iou,mrr_first_hit,map_at_k,seen_precision_at_10,cold_precision_at_10
2025-09,baseline_hl60,2025-09-01,2025-10-01,629049,0.08443656073321198,0.06325665892790144,0.06404652938631099,0.360149130874499,0.193377750018496,0.10731134757107647,0.008988420463527633
2025-09,copurchase_hl60_w015,2025-09-01,2025-10-01,644506,0.08651133697362133,0.06505820611987183,0.06572371435362986,0.35931666608746493,0.1931748927156606,0.11001516601273806,0.008988420463527633
2025-09,brand_l3_hl60_cw015_mw006,2025-09-01,2025-10-01,649862,0.08723026700814501,0.06573273699216814,0.06630610930363087,0.3609387697152435,0.19452096353112774,0.11095206525408756,0.008988420463527633
2025-09,brand_l3_hl60_cw015_mw010,2025-09-01,2025-10-01,649707,0.08720946152731021,0.06573861087002396,0.0662892461370631,0.3612900259955621,0.1946663491139909,0.11092495185184538,0.008988420463527633
2025-10,baseline_hl60,2025-10-01,2025-11-01,678111,0.08557015983100767,0.06436436202572349,0.06524680278052133,0.36476689353473873,0.19936662663041835,0.10855305690102741,0.012291494894399695
2025-10,copurchase_hl60_w015,2025-10-01,2025-11-01,698567,0.088151482342371,0.06648710516355341,0.0673476043857644,0.36555471259317057,0.20020679706344618,0.11194397753531657,0.012291494894399695
2025-10,brand_l3_hl60_cw015_mw006,2025-10-01,2025-11-01,704210,0.08886356695967756,0.06715839731379367,0.06792859129947613,0.3671013447625632,0.2014849911058527,0.11287939820110135,0.012291494894399695
2025-10,brand_l3_hl60_cw015_mw010,2025-10-01,2025-11-01,703870,0.08882066269423644,0.06714266344262611,0.06789356797980102,0.3674107592283077,0.20153987782791402,0.1128230375726472,0.012291494894399695
2025-11,baseline_hl60,2025-11-01,2025-12-01,741096,0.09122798379035792,0.06738197243667159,0.06832081177842034,0.38660324473057117,0.20688709159602206,0.11272080270305827,0.020371095196284817
2025-11,copurchase_hl60_w015,2025-11-01,2025-12-01,778321,0.09581033438541724,0.07087331068590288,0.07199962627439045,0.3901145117237843,0.20993745232467526,0.11869310469858525,0.020371095196284817
2025-11,brand_l3_hl60_cw015_mw006,2025-11-01,2025-12-01,783151,0.0964049012994303,0.07143399377429355,0.07247881583379916,0.39155108281191353,0.21105239688259886,0.11946801990713853,0.020371095196284817
2025-11,brand_l3_hl60_cw015_mw010,2025-11-01,2025-12-01,781784,0.0962366253219032,0.07133387422133433,0.07234315081505231,0.3916816334220159,0.21090385322931227,0.1192487012549455,0.020371095196284817
2025-12,baseline_hl60,2025-12-01,2026-01-01,702090,0.08135853656840773,0.06079149782731065,0.061805590523371666,0.3474535426821296,0.1844114411794685,0.10323955875653973,0.009849695087269832
2025-12,copurchase_hl60_w015,2025-12-01,2026-01-01,720486,0.08349027415007451,0.06261202643507752,0.0635278843895244,0.34527443205061503,0.18399755320677819,0.10602358766830769,0.009849695087269832
2025-12,brand_l3_hl60_cw015_mw006,2025-12-01,2026-01-01,725935,0.08412170696604006,0.06319747905393445,0.06403911075761964,0.347068076332886,0.18535729591899602,0.10684823289228157,0.009849695087269832
2025-12,brand_l3_hl60_cw015_mw010,2025-12-01,2026-01-01,725334,0.08405206278868728,0.06315355537949328,0.06398270069320017,0.3476209279182585,0.18551596535962583,0.10675727826214608,0.009849695087269832
